year,export_volume_mn_kg,export_revenue_lkr_bn,export_revenue_usd_mn,source
2010,328.000,162.70,1440.6,data.gov.lk_and_industry_statistics
2011,323.000,164.80,1490.9,data.gov.lk_and_industry_statistics
2012,319.900,180.40,1411.9,data.gov.lk_export_agriculture_crops
2013,319.600,199.40,1544.7,Sri_Lanka_EDB_and_SLTB_Annual_Report_2014
2014,327.300,212.60,1628.3,SLTB_Annual_Report_2014.pdf
2015,306.900,182.00,1339.1,SLTB_Annual_Report_2015.pdf
2016,288.770,185.00,1269.0,tea_industry_overview_2016
2017,288.984,233.34,1530.5,SLTB_Annual_Report_2017.pdf
2018,282.363,231.75,1430.0,tea_industry_review_2018
2019,292.657,240.64,1350.0,tea_industry_overview_2019
2020,265.569,230.17,1240.0,SLTB_Annual_Report_2020.pdf
2021,286.016,263.35,1320.0,tea_industry_overview_2022
2022,250.191,411.09,1270.0,tea_industry_overview_2022
2023,241.912,428.29,1310.0,SLTB_Annual_Report_2024English.pdf
2024,245.787,433.47,1440.0,SLTB_Annual_Report_2024English.pdf
