year,production_mn_kg,source
2010,331.4,production_of_major_agricultural_crops.csv
2011,327.5,production_of_major_agricultural_crops.csv
2012,328.4,production_of_major_agricultural_crops.csv
2013,340.2,SLTB_Revised_Tea_Production_2013.pdf
2014,338.0,SLTB_Annual_Report_2014.pdf
2015,328.8,SLTB_Annual_Report_2015.pdf
2016,292.6,SLTB_Revised_Tea_Production_2016.pdf
2017,307.7,SLTB_Annual_Report_2017.pdf
2018,303.9,SLTB_Annual_Report_2018.pdf
2019,300.1,SLTB_Annual_Report_2020.pdf
2020,278.9,SLTB_Annual_Report_2020.pdf
2021,299.5,SLTB_Annual_Report_2021.pdf
2022,251.5,SLTB_Annual_Report_2022.pdf
2023,256.1,SLTB_Annual_Report_2024English.pdf
2024,262.2,SLTB_Annual_Report_2024English.pdf
2025,264.6,SLTB_Revised_Tea_Production_2025_Cumulative.pdf
