month,high_kg,medium_kg,low_kg,total_kg
January,4715949,3462305,13447716,21625970
February,3473345,2578729,9705699,15757773
March,5696422,5085884,13995509,24777815
April,6353885,5348983,14763645,26466513
May,5964616,5036136,14435047,25435799
June,4259981,3944678,13504885,21709545
July,3976308,3765562,13745590,21487460
August,3717241,3237781,12761360,19716382
September,4948137,4162742,13069211,22180090
October,3932159,3513000,14545812,21990970
November,4757928,3963824,12989032,21710784
December,4700235,3606762,13449662,21756659
